accepted_name,early_interval,,late_interval,,FAD1,FAD2,LAD1,LAD2,,superinfraclass,infraclass,subclass,superorder,order,suborder,infraorder,parvorder,superfamily,subsuperfamilu,family,suprasubfamily,subfamily,tribe,genus,,
Cervus gouazoubira,Late Pleistocene,Holocene,Holocene,Holocene,0.126,0,0.0117,0,NOT OK,,,,,Artiodactyla,,,,,,Cervidae,,Cervinae,Cervini,Cervus,,
Cervus_latus,Late Pleistocene,Late Pleistocene,Late Pleistocene,Late Pleistocene,0.126,0.0117,0.126,0.0117,OK,,,,,Artiodactyla,,,,,,Cervidae,,Cervinae,Cervini,Cervus,,
Conepatus_robustus,Late Pleistocene,Late Pleistocene,Late Pleistocene,Late Pleistocene,0.126,0.0117,0.126,0.0117,OK,,,,,Carnivora,,,,,,Mephitidae,,,,Conepatus,,
Corynorhinus tetralophodon,Late Pleistocene,Late Pleistocene,Late Pleistocene,Late Pleistocene,0.126,0.0117,0.126,0.0117,,,,,,Chiroptera,,,,,,Vespertilionidae,,,,Corynorhinus,,
Ctenomys_cotocaensis,Middle Pleistocene,Middle Pleistocene,Middle Pleistocene,Middle Pleistocene,0.773,0.126,0.773,0.126,OK,,,,,Rodentia,,,,,,Ctenomyidae,,,,Ctenomys,,
Ctenomys_kraglievichi,Middle Pleistocene,Middle Pleistocene,Middle Pleistocene,Middle Pleistocene,0.773,0.126,0.773,0.126,OK,,,,,Rodentia,,,,,,Ctenomyidae,,,,Ctenomys,,
Ctenomys_praderii,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Rodentia,,,,,,Ctenomyidae,,,,Ctenomys,,
Cuvieronius_tropicus,Hemphillian,Hemphillian,Late Pleistocene,Late Pleistocene,9.4,4.7,0.126,0.0117,OK,,,,,Proboscidea,,,Elephantida,,,Gomphotheriidae,,Brevirostrine,,Cuvieronius,,
Cynomys_niobrarius,Irvingtonian,Irvingtonian,Late Pleistocene,Late Pleistocene,1.4,0.21,0.126,0.0117,OK,,,,,Rodentia,,,,,,Sciuridae,,,,Cynomys,,
Cynomys_spenceri,Irvingtonian,Irvingtonian,Late Pleistocene,Late Pleistocene,1.4,0.21,0.126,0.0117,OK,,,,,Rodentia,,,,,,Sciuridae,,,,Cynomys,,
Dasypus bellus,Blancan,Blancan,Late Pleistocene,Holocene,4.7,1.4,0.126,0,NOT OK,,,,,Cingulata,,,,,,Dasypodidae,,Dasypodinae,,Dasypus,,
Desmatippus_texanus,Arikareean,Arikareean,Late Pleistocene,Late Pleistocene,29.5,18.5,0.126,0.0117,OK,,,,,Perissodactyla,,,,,,Equidae,,Anchitheriinae,,Desmatippus,,
Desmodus_stocki,Rancholabrean,Rancholabrean,Late Pleistocene,Late Pleistocene,0.21,0.014,0.126,0.0117,OK,,,,,Chiroptera,,,,,,Phyllostomidae,,,,Desmodus,,
Dicolpomys fossor,Pleistocene,Holocene,Pleistocene,Holocene,2.58,0,2.58,0,NOT OK,,,,,Rodentia,,,Caviamorpha,Octodontoidea,,Echimyidae,,Euryzygomatomyinae,,Dicolpomys,,
Doedicurus clavicaudatus,Pleistocene,Pleistocene,Late Pleistocene,Holocene,2.58,0.0117,0.126,0,NOT OK,,,,,Cingulata,,,,,,Chlamyphoridae,,Glyptodontinae,,Doedicurus,,
Dusicyon_culpaeus,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Carnivora,,,,,,Canidae,,Caninae,Canini,Dusicyon,,
Dusicyon_gymnocercus,Middle Pleistocene,Middle Pleistocene,Middle Pleistocene,Middle Pleistocene,0.773,0.126,0.773,0.126,OK,,,,,Carnivora,,,,,,Canidae,,Caninae,Canini,Dusicyon,,
Dusicyon_sechurae,Middle Pleistocene,Late Pleistocene,Middle Pleistocene,Late Pleistocene,0.773,0.0117,0.773,0.0117,NOT OK,,,,,Carnivora,,,,,,Canidae,,Caninae,Canini,Dusicyon,,
Epieuryceros_truncus,Middle Pleistocene,Middle Pleistocene,Middle Pleistocene,Middle Pleistocene,0.773,0.126,0.773,0.126,OK,,,,,Artiodactyla,,,,,,Cervidae,,Capreolinae,Rangiferini,Epieuryceros,http://revista.macn.gob.ar/ojs/index.php/RevMus/article/viewFile/71/64,
Equus conversidens,Blancan,Blancan,Late Pleistocene,Holocene,4.7,1.4,0.126,0,NOT OK,,,,,Perissodactyla,,,,,,Equidae,,Equinae,Equini,Equus,,
Equus excelsus,Late Pliocene,Late Pliocene,Late Pleistocene,Holocene,3.6,2.58,0.126,0,NOT OK,,,,,Perissodactyla,,,,,,Equidae,,Equinae,Equini,Equus,,
Equus scotti,Blancan,Blancan,Late Pleistocene,Holocene,4.7,1.4,0.126,0,NOT OK,,,,,Perissodactyla,,,,,,Equidae,,Equinae,Equini,Equus,,
Equus simplicidens,Blancan,Blancan,Holocene,Holocene,4.7,1.4,0.0117,0,OK,,,,,Perissodactyla,,,,,,Equidae,,Equinae,Equini,Equus,,
Equus_alaskae,Middle Pleistocene,Middle Pleistocene,Late Pleistocene,Late Pleistocene,0.773,0.126,0.126,0.0117,OK,,,,,Perissodactyla,,,,,,Equidae,,Equinae,Equini,Equus,,
Equus_andium,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Perissodactyla,,,,,,Equidae,,Equinae,Equini,Equus,,
Equus_calobatus,Blancan,Blancan,Middle Pleistocene,Middle Pleistocene,4.7,1.4,0.773,0.126,OK,,,,,Perissodactyla,,,,,,Equidae,,Equinae,Equini,Equus,,
Equus_complicatus,Blancan,Blancan,Late Pleistocene,Late Pleistocene,4.7,1.4,0.126,0.0117,OK,,,,,Perissodactyla,,,,,,Equidae,,Equinae,Equini,Equus,,
Equus_crenidens,Late Pliocene,Late Pliocene,Pleistocene,Pleistocene,3.6,2.58,2.58,0.0117,OK,,,,,Perissodactyla,,,,,,Equidae,,Equinae,Equini,Equus,,
Equus_fraternus,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Perissodactyla,,,,,,Equidae,,Equinae,Equini,Equus,,
Equus_giganteus,Blancan,Blancan,Late Pleistocene,Late Pleistocene,4.7,1.4,0.126,0.0117,OK,,,,,Perissodactyla,,,,,,Equidae,,Equinae,Equini,Equus,,
Equus_insulatus,Early Pleistocene,Early Pleistocene,Late Pleistocene,Late Pleistocene,2.58,1.8,0.126,0.0117,OK,,,,,Perissodactyla,,,,,,Equidae,,Equinae,Equini,Equus,,
Equus_intermedius,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Perissodactyla,,,,,,Equidae,,Equinae,Equini,Equus,,
Equus_laurentius,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Perissodactyla,,,,,,Equidae,,Equinae,Equini,Equus,,
Equus_leidyi,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Perissodactyla,,,,,,Equidae,,Equinae,Equini,Equus,,
Equus_major,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Perissodactyla,,,,,,Equidae,,Equinae,Equini,Equus,,
Equus_martinei,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Perissodactyla,,,,,,Equidae,,Equinae,Equini,Equus,,
Equus_mexicanus,Late Pleistocene,Late Pleistocene,Late Pleistocene,Late Pleistocene,0.126,0.0117,0.126,0.0117,OK,,,,,Perissodactyla,,,,,,Equidae,,Equinae,Equini,Equus,,
Equus_niobrarensis,Irvingtonian,Irvingtonian,Late Pleistocene,Late Pleistocene,1.4,0.21,0.126,0.0117,OK,,,,,Perissodactyla,,,,,,Equidae,,Equinae,Equini,Equus,,
Equus_pacificus,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Perissodactyla,,,,,,Equidae,,Equinae,Equini,Equus,,
Equus_santaeelenae,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Perissodactyla,,,,,,Equidae,,Equinae,Equini,Equus,,
Eremotherium laurillardi,Pleistocene,Pleistocene,Holocene,Holocene,2.58,0.0117,0.0117,0,OK,,,,,Pilosa,Folivora,,,Megatheroidea,,Megatheriidae,,Megatheriinae,Megatheriini,Eremotherium,,
Eremotherium_elenense,Middle Pleistocene,Late Pleistocene,Middle Pleistocene,Late Pleistocene,0.773,0.0117,0.773,0.0117,NOT OK,,,,,Pilosa,Folivora,,,Megatheroidea,,Megatheriidae,,Megatheriinae,Megatheriini,Eremotherium,,
Eremotherium_sefvei,Late Pleistocene,Late Pleistocene,Late Pleistocene,Late Pleistocene,0.126,0.0117,0.126,0.0117,OK,,,,,Pilosa,Folivora,,,Megatheroidea,,Megatheriidae,,Megatheriinae,Megatheriini,Eremotherium,,
Erethizon_kleini,Calabrian,Calabrian,Irvingtonian,Rancholabrean,1.8,0.773,1.4,0.014,NOT OK,,,,,Rodentia,,,Caviamorpha,Erethizontoidea,,Erethizontidae,,,,Erethizon,,
Euceratherium collinum,Pleistocene,Holocene,Pleistocene,Holocene,2.58,0.0117,2.58,0.0117,NOT OK,,,,,Artiodactyla,,,,,,Bovidae,,Caprinae,Ovibovini,Euceratherium,,
Euceratherium_americanum,Irvingtonian,Irvingtonian,Late Pleistocene,Late Pleistocene,1.4,0.21,0.126,0.0117,OK,,,,,Artiodactyla,,,,,,Bovidae,,Caprinae,Ovibovini,Euceratherium,,
Eulamaops,Lujanian,Lujanian,Lujanian,Lujanian,0.13,0.08,0.13,0.08,OK,,,,,Artiodactyla,,,,,,Camelidae,,,Camelini,Eulamaops,,
Eumysops_laeviplicatus,Early Pliocene,Early Pliocene,Lujanian,Lujanian,5.333,2.58,0.13,0.08,,,,,,Rodentia,,,Caviamorpha,Octodontoidea,,Echimyidae,,Eumysopinae,,Eumysops,https://www.researchgate.net/publication/263568631_Systematics_phylogeny_and_evolutionary_pattern_of_the_hystricognath_rodent_Eumysops_Echimyidae_from_the_Plio-Pleistocene_of_southern_South_America,http://naturalis.fcnym.unlp.edu.ar/repositorio/_documentos/sipcyt/bfa004254.pdf
Eutatus_seguini,Huayquerian,Huayquerian,Late Pleistocene,Late Pleistocene,8.5,5.28,0.126,0.0117,OK,,,,,Cingulata,,,,,,Chlamyphoridae,,Euphractinae,,Eutatus,https://www.fceia.unr.edu.ar/fisiografia/volumen87/Brambilla_etal_bifg87.pdf,
Felis_platensis,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Carnivora,,,,,,Felidae,,Felinae,,Felis,,
Geomys_lutescens,Middle Pleistocene,Middle Pleistocene,Middle Pleistocene,Middle Pleistocene,0.773,0.126,0.773,0.126,OK,,,,,Rodentia,,,,,,Geomyidae,,,,Geomys,,
Glossotherium_emmersoni,Lujanian,Lujanian,Lujanian,Lujanian,0.13,0.08,0.13,0.08,OK,,,,,Pilosa,Folivora,,,Mylodontoidea,,Mylodontidae,,,,Glossotherium,,
Glossotherium_giganteum,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Pilosa,Folivora,,,Mylodontoidea,,Mylodontidae,,,,Glossotherium,,
Glossotherium_robustum,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Pilosa,Folivora,,,Mylodontoidea,,Mylodontidae,,,,Glossotherium,,
Glossotherium_tropicorum,Middle Pleistocene,Late Pleistocene,Middle Pleistocene,Late Pleistocene,0.773,0.0117,0.773,0.0117,NOT OK,,,,,Pilosa,Folivora,,,Mylodontoidea,,Mylodontidae,,,,Glossotherium,,
Glyptodon clavipes,Pleistocene,Pleistocene,Pleistocene,Holocene,2.58,0.0117,2.58,0,NOT OK,,,,,Cingulata,,,,,,Chlamyphoridae,,Glyptodontinae,,Glyptodon,,
Glyptodon reticulatus,Pleistocene,Pleistocene,Pleistocene,Holocene,2.58,0.0117,2.58,0,NOT OK,,,,,Cingulata,,,,,,Chlamyphoridae,,Glyptodontinae,,Glyptodon,,
Glyptodon_elongatus,Late Pleistocene,Late Pleistocene,Late Pleistocene,Late Pleistocene,0.126,0.0117,0.126,0.0117,OK,,,,,Cingulata,,,,,,Chlamyphoridae,,Glyptodontinae,,Glyptodon,,
Glyptodon_euphractus,Late Pleistocene,Late Pleistocene,Late Pleistocene,Late Pleistocene,0.126,0.0117,0.126,0.0117,OK,,,,,Cingulata,,,,,,Chlamyphoridae,,Glyptodontinae,,Glyptodon,,
Glyptotherium_cylindricum,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Cingulata,,,,,,Chlamyphoridae,,Glyptodontinae,,Glyptotherium,,
Glyptotherium_texanum,Pliocene,Pleistocene,Pleistocene,Pleistocene,5.333,0.0117,2.58,0.0117,NOT OK,,,,,Cingulata,,,,,,Chlamyphoridae,,Glyptodontinae,,Glyptotherium,,
Gomphotherium_gratum,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Proboscidea,,,Elephantida,,,Gomphotheriidae,,,,Gomphotherium,,
Guildayomys_matthewsi,Middle Pleistocene,Middle Pleistocene,Middle Pleistocene,Middle Pleistocene,0.773,0.126,0.773,0.126,OK,,,,,Rodentia,,,,,,Cricetidae,,Arvicolinae,,Guildayomys,,
Haringtonhippus_francisci,Late Pleistocene,Late Pleistocene,Late Pleistocene,Late Pleistocene,0.126,0.0117,0.126,0.0117,OK,,,,,Perissodactyla,,,,,,Equidae,,Equinae,Equini,Equus,https://elifesciences.org/articles/29944,
Hemiauchenia macrocephala,Blancan,Blancan,Late Pleistocene,Holocene,4.7,1.4,0.126,0,NOT OK,,,,,Artiodactyla,,,,,,Camelidae,,,Lamini,Hemiauchenia,,
Hemiauchenia_gracilis,Blancan,Blancan,Late Pleistocene,Late Pleistocene,4.7,1.4,0.126,0.0117,OK,,,,,Artiodactyla,,,,,,Camelidae,,,Lamini,Hemiauchenia,,
Hemiauchenia_paradoxa,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Artiodactyla,,,,,,Camelidae,,,Lamini,Hemiauchenia,,
Hippidion chapalmalensis,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Perissodactyla,,,,,,Equidae,,Equinae,Equini,Equus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1159165/,https://link.springer.com/article/10.1007%2Fs00239-008-9100-x
Hippidion_devillei,Late Pliocene,Late Pliocene,Pleistocene,Pleistocene,3.6,2.58,2.58,0.0117,OK,,,,,Perissodactyla,,,,,,Equidae,,Equinae,Equini,Hippidion,,
Holmesina paulacoutoi,Pleistocene,Pleistocene,Late Pleistocene,Holocene,2.58,0.0117,0.126,0,NOT OK,,,,,Cingulata,,,,,,Pampatheriidae,,,,Holmesina,,
Holmesina_occidentalis,Early Pleistocene,Middle Pleistocene,Middle Pleistocene,Late Pleistocene,2.58,0.126,2.58,0.126,NOT OK,,,,,Cingulata,,,,,,Pampatheriidae,,,,Holmesina,,
Holmesina_septentrionalis,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Cingulata,,,,,,Pampatheriidae,,,,Holmesina,,
Homotherium_ultimum,Middle Pleistocene,Middle Pleistocene,Late Pleistocene,Late Pleistocene,0.773,0.126,0.126,0.0117,OK,,,,,Carnivora,,,,,,Felidae,,Machairodontinae,Homotherini,Homotherium,,
Homotherium_venezuelensis,Early Pleistocene,Middle Pleistocene,Early Pleistocene,Middle Pleistocene,2.58,0.126,2.58,0.126,NOT OK,,,,,Carnivora,,,,,,Felidae,,Machairodontinae,Homotherini,Homotherium,,
Hyperdidelphys_inexpectata,Early Pliocene,Early Pliocene,Lujanian,Lujanian,5.333,3.6,0.13,0.08,OK,Marsupialiformes,Marsupialia,,,Didelphimorphia,,,,,,Didelphidae,,Didelphinae,Didelphini,Hyperdidelphys,,
Hyperdidelphys_parvula,Montehermosan,Montehermosan,Lujanian,Lujanian,5.28,4.75,0.13,0.08,OK,Marsupialiformes,Marsupialia,,,Didelphimorphia,,,,,,Didelphidae,,Didelphinae,Didelphini,Hyperdidelphys,,
Lama_gracilis,Lujanian,Lujanian,Late Pleistocene,Late Pleistocene,0.13,0.08,0.126,0.0117,OK,,,,,Artiodactyla,,,,,,Camelidae,,,Lamini,Lama,,
Lasiopodomys_deceitensis,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Rodentia,,,,,,Cricetidae,,Arvicolinae,Arvicolini,Lasiopodomys,,
Leopardus braccatus,Pleistocene,Holocene,Pleistocene,Holocene,2.58,0,2.58,0,NOT OK,,,,,Carnivora,,,,,,Felidae,,,,Leopardus,,
Lestodon armatus,Pleistocene,Pleistocene,Pleistocene,Holocene,2.58,0.0117,2.58,0,NOT OK,,,,,Pilosa,Folivora,,,Mylodontoidea,,Mylodontidae,,,,Lestodon,,
Lomaphorus,Ensenadan,Ensenadan,Late Pleistocene,Late Pleistocene,2,0.78,0.126,0.0117,OK,,,,,Cingulata,,,,,,Chlamyphoridae,,Glyptodontinae,,Lomaphorus,,
Macrauchenia_patagonica,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,Perissodactyla_Litopterna_Notoungulata,Litopterna_Notoungulata,Litopterna,,,,,,Macraucheniidae,,Macraucheniinae,,Macrauchenia,https://www.nature.com/articles/ncomms15951,
Macrauchenia_ullomensis,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,Perissodactyla_Litopterna_Notoungulata,Litopterna_Notoungulata,Litopterna,,,,,,Macraucheniidae,,Macraucheniinae,,Macrauchenia,https://www.nature.com/articles/ncomms15951,
Macraucheniopsis,Middle Pleistocene,Middle Pleistocene,Late Pleistocene,Late Pleistocene,0.773,0.126,0.126,0.0117,OK,,,Perissodactyla_Litopterna_Notoungulata,Litopterna_Notoungulata,Litopterna,,,,,,Macraucheniidae,,Macraucheniinae,,Macraucheniopsis,https://www.nature.com/articles/ncomms15951,
Mammut_floridanum,Pleistocene,Pleistocene,Pleistocene,Pleistocene,2.58,0.0117,2.58,0.0117,OK,,,,,Proboscidea,,,Elephantida,Mammutoidea,,Mammutidae,,,,Mammut,,
Mammut_pacificus,Blancan,Blancan,Late Pleistocene,Late Pleistocene,4.7,1.4,0.126,0.0117,OK,,,,,Proboscidea,,,Elephantida,Mammutoidea,,Mammutidae,,,,Mammut,,
Mammuthus_exilis,Rancholabrean,Rancholabrean,Late Pleistocene,Late Pleistocene,0.21,0.014,0.126,0.0117,OK,,,,,Proboscidea,,,Elephantida,Elephantoidea,,Elephantidae,,Elephantinae,Elephantini,Mammuthus,,
Megalonyx jeffersonii,Pleistocene,Pleistocene,Late Pleistocene,Holocene,2.58,0.0117,0.126,0,NOT OK,,,,,Pilosa,Folivora,,,,,Megalonychidae,,Megalonychinae,Megalonychini,Megalonyx,,
Megalonyx_wheatleyi,Blancan,Blancan,Late Pleistocene,Late Pleistocene,4.7,1.4,0.126,0.0117,OK,,,,,Pilosa,Folivora,,,,,Megalonychidae,,Megalonychinae,Megalonychini,Megalonyx,,
Megatherium americanum,Huayquerian,Huayquerian,Holocene,Holocene,8.5,5.28,0.0117,0,OK,,,,,Pilosa,Folivora,,,,,Megatheriidae,,Megatheriinae,Megatheriini,Megatherium,,
