Authors	Year	Title	Source	Voume	Pages	Characters	Analysis	Possible Overlap
Baker, A. J. Huynen, L. Haddrath, O. Millar, C. D. Lambert, D. M.	2005	Reconstructing the tempo and mode of evolution in an extinct clade of birds with ancient DNA: the giant moas of New Zealand.	Proceedings of the National Acadamy of Sciences USA	102	8257-8262	mt control region:ATPase 6:ATPase 8:cytb:ND3:ND4:ND5:COIII:12S:tRNA-Lys:	Bayesian	../devel/test_dataset/standard/Baker_etal_2005/Baker_etal_2005_corr_a.xml: 

Barber, B. R. Martinez-Gomez, J. E. Peterson, A. T.	2004	Systematic position of the Socorro mockingbird Mimodes graysoni.	Journal of Avian Biology	35	195-198	ND2:	ML	../devel/test_dataset/standard/Barber_etal_2004/Tree 1/Barber_etal_2004_corr.xml: 

BERTELLI, S., N. P. GIANNINI, AND D. T. KSEPKA	2006	Redescription and phylogenetic position of the early Miocene penguin Paraptenodytes antarcticus from Patagonia.	American Museum Novitates	3525	1-25	Osteology:	MP	../devel/test_dataset/standard/Bertelli_etal_2006/Tree 1/Bertelli_etal_2006_1_corr.xml: 

BERTELLI, S., N. P. GIANNINI, AND D. T. KSEPKA	2006	Redescription and phylogenetic position of the early Miocene penguin Paraptenodytes antarcticus from Patagonia.	American Museum Novitates	3525	1-25	Osteology:soft tissue:behaviour:oology:	MP	../devel/test_dataset/standard/Bertelli_etal_2006/Tree 2/Bertelli_etal_2006_1_corr.xml: 

Andersson, M.	1999	Hybridisation and skua phylogeny.	Proceedings of the Royal Society of London B	266	1579-1585	Parasites:	MP	../devel/test_dataset/standard/Andersson_1999b/Tree 2/Andersson_1999b_2_corr.xml: 

Andersson, M.	1999	Hybridisation and skua phylogeny.	Proceedings of the Royal Society of London B	266	1579-1585	Plumage:Body size:	MP	../devel/test_dataset/standard/Andersson_1999b/Tree 1/Andersson_1999b_1_corr.xml: 

BAKER, A. J., S. L. PEREIRA, O. P. HADDRATH, AND K. A. EDGE	2006	Multiple gene evidence for expansion of extant penguins out of Antarctica due to global cooling. 	Proceedings of the Royal Society B-Biological Sciences	273	11-17	RAG1:12S:16S:cytb:COI:	Bayesian	../devel/test_dataset/standard/Baker_etal_2006/Tree 1/Baker_etal_2006_corr.xml: 
